precision,recall,f1_score,avg_levenshtein_ratio,file_id,skipped
1.0,1.0,1.0,0.9921,44404,0
0.8333,1.0,0.9091,0.9916,47119,0
0.9048,0.95,0.9268,0.9958,1219,0
0.375,0.5,0.4286,0.9859,45108,0
0.8,1.0,0.8889,0.9914,19851,0
1.0,0.7692,0.8696,1.0,21699,0
0.9216,0.9792,0.9495,0.996,42302,0
1.0,1.0,1.0,0.992,12455,0
1.0,1.0,1.0,0.9912,20430,0
0.0,0.0,0.0,0.0,31924,0
0.0,0.0,0.0,0.0,33116,0
1.0,1.0,1.0,0.9903,18436,0
0.0,0.0,0.0,0.0,34484,0
1.0,1.0,1.0,0.9933,27598,0
0.0,0.0,0.0,0.0,27017,0
0.0,0.0,0.0,0.0,20786,0
0.9737,1.0,0.9867,0.9983,38687,0
0.9,1.0,0.9474,0.9937,11413,0
1.0,1.0,1.0,0.9892,18437,0
0.8889,1.0,0.9412,0.9179,40890,0
1.0,1.0,1.0,1.0,18382,0
1.0,1.0,1.0,0.9855,41585,0
1.0,1.0,1.0,0.9738,29413,0
0.0,0.0,0.0,0.0,31506,0
0.0,0.0,0.0,0.0,34481,0
0.9831,1.0,0.9915,0.9917,34522,0
1.0,1.0,1.0,0.988,28889,0
0.0,0.0,0.0,0.0,12526,True
1.0,1.0,1.0,0.994,45330,0
1.0,0.8889,0.9412,0.9995,39204,0
0.9818,1.0,0.9908,0.9985,34912,0
1.0,1.0,1.0,1.0,4004,0
1.0,1.0,1.0,0.9996,37764,0
0.0,0.0,0.0,0.0,28254,0
0.0,0.0,0.0,0.0,10939,0
0.0,0.0,0.0,0.0,32965,True
0.931,0.9643,0.9474,0.9984,11164,0
1.0,1.0,1.0,0.9924,10454,0
0.5,1.0,0.6667,0.979,36493,0
1.0,1.0,1.0,0.9991,32420,0
0.0,0.0,0.0,0.0,28444,True
1.0,1.0,1.0,1.0,1181,0
0.0,0.0,0.0,0.0,32408,0
1.0,0.9333,0.9655,0.9932,36684,0
0.9,1.0,0.9474,0.9947,39206,0
0.0,0.0,0.0,0.0,36492,0
0.9412,1.0,0.9697,0.9883,50111,0
1.0,1.0,1.0,0.9907,27414,0
0.0,0.0,0.0,0.0,20804,0
0.96,1.0,0.9796,0.9926,18495,0
1.0,1.0,1.0,0.9993,23371,0
0.9286,0.975,0.9512,0.9951,38962,0
0.0,0.0,0.0,0.0,6065,0
0.0,0.0,0.0,0.0,48117,0
0.0,0.0,0.0,0.0,40239,0
1.0,1.0,1.0,0.9992,40991,0
1.0,1.0,1.0,0.9999,34793,0
0.4286,1.0,0.6,0.9924,39260,0
0.9565,0.88,0.9167,0.9991,12797,0
0.0,0.0,0.0,0.0,33759,0
1.0,1.0,1.0,1.0,21375,0
1.0,1.0,1.0,0.9943,24635,0
0.875,1.0,0.9333,0.9945,26236,0
1.0,1.0,1.0,0.9994,45544,0
0.0,0.0,0.0,0.0,11129,0
1.0,0.8621,0.9259,0.9997,24743,0
1.0,1.0,1.0,0.9932,38381,0
0.0,0.0,0.0,0.0,27048,0
0.878,0.8,0.8372,0.9516,38183,0
1.0,1.0,1.0,0.9757,18508,0
0.875,0.9333,0.9032,0.9864,34753,0
1.0,1.0,1.0,0.9994,18291,0
0.9167,0.569,0.7021,0.9873,39854,0
1.0,1.0,1.0,0.9924,48511,0
0.8636,0.6333,0.7308,0.9903,48277,0
0.0,0.0,0.0,0.0,27667,True
0.8889,1.0,0.9412,0.9858,6926,0
0.0,0.0,0.0,0.0,35267,True
1.0,0.5556,0.7143,1.0,44475,0
0.9167,1.0,0.9565,0.9943,11448,0
0.6,1.0,0.75,1.0,47168,0
0.0,0.0,0.0,0.0,36593,0
0.0,0.0,0.0,0.0,47961,0
0.9773,0.5658,0.7167,0.9821,20044,0
1.0,1.0,1.0,0.9863,16521,0
1.0,1.0,1.0,0.9991,19174,0
0.0,0.0,0.0,0.0,36815,0
1.0,1.0,1.0,0.989,18257,0
0.9091,1.0,0.9524,0.9923,35306,0
0.0,0.0,0.0,0.0,11703,0
0.9792,1.0,0.9895,0.9983,118633,0
0.8889,1.0,0.9412,0.9932,32521,0
0.7313,1.0,0.8448,0.9995,39476,0
1.0,1.0,1.0,0.9998,44099,0
1.0,1.0,1.0,1.0,18268,0
1.0,1.0,1.0,0.9996,11258,0
1.0,1.0,1.0,0.9997,24817,0
0.0,0.0,0.0,0.0,48259,0
1.0,1.0,1.0,0.9914,10967,0
1.0,1.0,1.0,0.9527,37466,0
0.7778,0.875,0.8235,1.0,19943,0
1.0,1.0,1.0,0.9961,27644,0
0.5,1.0,0.6667,0.9938,4135,0
1.0,1.0,1.0,0.9956,39678,0
1.0,1.0,1.0,0.9996,39056,0
0.9714,1.0,0.9855,0.9853,11916,0
1.0,1.0,1.0,0.991,18503,0
1.0,1.0,1.0,0.9981,19147,0
1.0,0.9,0.9474,0.981,44282,0
1.0,0.8438,0.9153,0.9936,1528,0
0.9714,1.0,0.9855,0.9902,38942,0
0.9259,0.9615,0.9434,0.9995,3854,0
0.6667,1.0,0.8,0.9981,39337,0
0.75,1.0,0.8571,0.9926,44451,0
0.6667,1.0,0.8,0.9897,35733,0
1.0,1.0,1.0,0.9998,28776,0
1.0,1.0,1.0,0.9962,1516,0
0.0,0.0,0.0,0.0,41105,0
0.9,1.0,0.9474,0.9995,21356,0
1.0,1.0,1.0,1.0,27055,0
1.0,1.0,1.0,1.0,18514,0
0.0,0.0,0.0,0.0,43934,0
0.9091,1.0,0.9524,0.9773,27493,0
0.6,1.0,0.75,0.9923,45570,0
0.0,0.0,0.0,0.0,32707,True
0.0,0.0,0.0,0.0,44849,True
0.0,0.0,0.0,0.0,44849,True
0.0,0.0,0.0,0.0,44849,True
0.0,0.0,0.0,0.0,44849,True
1.0,1.0,1.0,0.9801,46910,0
1.0,1.0,1.0,0.9948,27646,0
0.9184,0.9783,0.9474,0.9834,39454,0
0.0,0.0,0.0,0.0,34158,0
1.0,1.0,1.0,0.9915,27695,0
0.9677,0.9375,0.9524,0.9995,21582,0
0.0,0.0,0.0,0.0,26992,0
0.0,0.0,0.0,0.0,30855,0
0.0,0.0,0.0,0.0,17232,0
0.9787,0.9583,0.9684,0.9961,34776,0
1.0,0.8947,0.9444,0.9871,34951,0
0.0,0.0,0.0,0.0,36820,0
0.8889,1.0,0.9412,0.9986,40753,0
0.0,0.0,0.0,0.0,35441,0
0.9286,1.0,0.963,1.0,10831,0
0.0,0.0,0.0,0.0,41101,0
0.0,0.0,0.0,0.0,17421,0
0.9524,1.0,0.9756,0.9692,48858,0
0.4737,1.0,0.6429,0.9844,27482,0
1.0,1.0,1.0,0.989,17233,0
1.0,1.0,1.0,0.9926,18666,0
0.75,1.0,0.8571,1.0,48284,0
0.0,0.0,0.0,0.0,22077,0
0.0,0.0,0.0,0.0,6041,0
0.0,0.0,0.0,0.0,42768,True
0.3548,0.7857,0.4889,0.9832,44133,0
0.875,1.0,0.9333,0.9919,44735,0
0.913,1.0,0.9545,0.9911,17345,0
1.0,1.0,1.0,0.9971,28348,0
0.0,0.0,0.0,0.0,11721,0
1.0,1.0,1.0,0.9661,48046,0
1.0,1.0,1.0,0.9921,18473,0
0.8,1.0,0.8889,0.9841,27640,0
0.0,0.0,0.0,0.0,32265,0
1.0,1.0,1.0,0.9994,45288,0
0.5,1.0,0.6667,0.9952,50120,0
0.0,0.0,0.0,0.0,17492,0
1.0,1.0,1.0,0.9871,28662,0
0.9818,1.0,0.9908,0.9998,38465,0
1.0,1.0,1.0,1.0,11593,0
1.0,1.0,1.0,0.991,18549,0
0.6,1.0,0.75,0.9958,48424,0
1.0,1.0,1.0,0.9959,45841,0
1.0,1.0,1.0,0.9942,21690,0
1.0,1.0,1.0,0.9997,17322,0
0.9375,0.9,0.9184,0.9997,37757,0
0.96,1.0,0.9796,0.9893,6026,0
0.0,0.0,0.0,0.0,34869,0
1.0,1.0,1.0,0.9922,48550,0
1.0,1.0,1.0,0.9999,3823,0
1.0,1.0,1.0,0.9847,32567,0
0.9167,1.0,0.9565,0.9845,22006,0
1.0,0.95,0.9744,0.9998,18417,0
0.0,0.0,0.0,0.0,48208,True
0.0,0.0,0.0,0.0,33447,0
0.8889,1.0,0.9412,0.9918,27432,0
0.75,1.0,0.8571,1.0,35778,0
0.0,0.0,0.0,0.0,24846,0
0.6667,1.0,0.8,0.9989,48181,0
0.0,0.0,0.0,0.0,42309,True
0.5,1.0,0.6667,1.0,27787,0
0.2222,0.0851,0.1231,0.9522,28488,0
1.0,1.0,1.0,0.9964,40052,0
1.0,1.0,1.0,0.9992,19899,0
0.68,0.8947,0.7727,0.9999,44553,0
0.0,0.0,0.0,0.0,12715,0
0.0,0.0,0.0,0.0,28338,0
0.931,1.0,0.9643,0.9465,23325,0
0.0,0.0,0.0,0.0,45715,0
1.0,1.0,1.0,0.9916,18189,0
0.9762,1.0,0.988,0.9933,39796,0
0.75,1.0,0.8571,1.0,38675,0
0.9375,1.0,0.9677,0.9722,16563,0
1.0,1.0,1.0,0.9981,39580,0
1.0,0.8,0.8889,0.9277,12248,0
0.0,0.0,0.0,0.0,2681,0
0.9778,1.0,0.9888,0.9895,41980,0
0.625,1.0,0.7692,0.9997,11190,0
1.0,1.0,1.0,1.0,34310,0
0.65,0.325,0.4333,0.9708,11423,0
0.8537,0.8974,0.875,0.9613,32211,0
0.9333,1.0,0.9655,0.9877,39434,0
1.0,1.0,1.0,0.9998,45272,0
0.7368,1.0,0.8485,0.9984,48150,0
0.2626,0.8966,0.4063,0.9906,5675,0
0.8333,1.0,0.9091,0.9926,30799,0
0.9565,1.0,0.9778,0.9532,48144,0
1.0,1.0,1.0,0.9998,32415,0
0.0,0.0,0.0,0.0,20011,0
0.9524,1.0,0.9756,0.9855,38850,0
0.7143,1.0,0.8333,0.9997,21332,0
0.0476,0.0556,0.0513,0.9469,31121,0
1.0,1.0,1.0,0.9949,17253,0
0.9286,0.7222,0.8125,0.9992,4605,0
0.75,0.4286,0.5455,1.0,3169,0
0.0,0.0,0.0,0.0,41740,0
0.8667,0.8667,0.8667,0.9855,20178,0
0.2727,0.75,0.4,0.9339,31920,0
0.8571,0.5854,0.6957,0.9965,36025,0
0.9444,0.6538,0.7727,0.9968,39677,0
1.0,0.4286,0.6,0.9969,41733,0
1.0,0.4615,0.6316,0.9833,42398,0
0.0,0.0,0.0,0.0,4930,True
0.0,0.0,0.0,0.0,35056,0
0.7692,0.4762,0.5882,0.9813,4336,0
0.0,0.0,0.0,0.0,33418,0
1.0,0.7857,0.88,0.994,41507,0
0.9167,0.9167,0.9167,0.9713,4737,0
0.7273,0.6667,0.6957,0.9735,20148,0
0.9792,0.9216,0.9495,0.9981,4752,0
0.6286,0.7719,0.6929,0.9313,30957,0
0.0,0.0,0.0,0.0,4379,0
1.0,1.0,1.0,0.9985,4782,0
1.0,0.8542,0.9213,0.9983,31474,0
1.0,0.6964,0.8211,0.9995,42361,0
